|Título apartamento|Preço do apartamento|Quantidade de quarto|Area do apartamento|Taxa do condomínio|Vagas de garagem|Endereco do apartamento|Quantidade de suítes|Quantidade de banheiro
117|Apartamento 4 Quartos para Venda em Natal, Petrópolis, 4 dormitórios, 4 suítes, 6 banheiro|R$ 2.950.000|4 quartos|449m²|R$ 0|4 vagas|Natal, Petrópolis | |4
118|Apartamento para venda com 3 quartos em Capim Macio - Natal - RN|R$ 110.000|3 quartos|61m²|R$ 100|1 vaga|Natal, Capim Macio | |1
119| | | | | | | | | 
120|Apartamento para venda com 220 metros quadrados com 3 quartos em Tirol - Natal - Rio Grand|R$ 730.000|3 quartos|220m²|R$ 1.850|2 vagas|Natal, Tirol | |2
121|Apartamento para venda possui 65 metros quadrados com 2 quartos em Cidade Alta - Natal - R|R$ 260.000|2 quartos|65m²|R$ 630|1 vaga|Natal, Cidade Alta | |1
122|Apartamento para venda com 163 metros quadrados com 3 quartos em Petrópolis - Natal - RN|R$ 1.699.900|3 quartos|163m²|R$ 1.050|4 vagas|Natal, Petrópolis | |4
123|Apartamento para venda com 105 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 370.000|3 quartos|105m²|R$ 1.650|2 vagas|Natal, Tirol | |2
124|Apartamento para venda com 117 metros quadrados com 3 quartos em Neópolis - Natal - RN|R$ 530.000|4 quartos|117m²|R$ 700|3 vagas|Natal, Neópolis | |3
125| | | | | | | | | 
126|Apartamento para venda possui 92 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 860.000|3 quartos|92m²|R$ 690|2 vagas|Natal, Lagoa Nova | |2
127|Apartamento para venda possui 197 metros quadrados com 4 quartos em Petrópolis - Natal - R|R$ 1.099.000|4 quartos|197m²|R$ 1.180|3 vagas|Natal, Petrópolis | |3
128|Apartamento para venda com 100 metros quadrados com 3 quartos em Cidade Alta - Natal - RN|R$ 200.000|3 quartos|100m²|R$ 563|1 vaga|Natal, Cidade Alta | |1
129|Apartamento para venda com 57 metros quadrados com 2 quartos em Candelária - Natal - RN|R$ 335.000|2 quartos|57m²|R$ 500|1 vaga|Natal, Candelária | |1
130|Apartamento para venda tem 56 metros quadrados com 2 quartos em Petrópolis - Natal - RN|R$ 240.000|2 quartos|56m²|R$ 650|1 vaga|Natal, Petrópolis | |1
131|Apartamento para venda com 90 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 160.000|2 quartos|90m²|R$ 420|1 vaga|Natal, Lagoa Nova | |1
132|Apartamento para venda tem 75 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 488.000|3 quartos|75m²|R$ 0|2 vagas|Natal, Lagoa Nova | |2
133|Apartamento para venda tem 85 metros quadrados com 3/4 , 2 Suítes  em Capim Macio - Natal |R$ 651.002|3 quartos|85m²|R$ 600|2 vagas|Natal, Capim Macio | |2
134|Apartamento para venda tem 87 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 470.000|3 quartos|87m²|R$ 530|2 vagas|Natal, Candelária | |2
135|Apartamento para venda possui 40 metros quadrados com 1 quarto em Ponta Negra - Natal - RN|R$ 375.000|1 quarto|40m²|R$ 416|2 vagas|Natal, Ponta Negra | |2
